cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2017-7804,20,0.69%,~ 71 %,7.5,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,Network,Low,None,None,Unchanged,None,High,None,3.9,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.400,mozilla,Memory protection bypass through WindowsDllDetourPatcher
CVE-2017-7803,269,1.10%,~ 78 %,7.5,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,Network,Low,None,None,Unchanged,None,High,None,3.9,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.433,mozilla,CSP containing 'sandbox' improperly applied
CVE-2017-7802,416,2.29%,~ 84 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.392,mozilla,Use-after-free resizing image elements
CVE-2017-7801,416,2.32%,~ 85 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.379,mozilla,Use-after-free with marquee during window resizing
CVE-2017-7800,416,4.29%,~ 89 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.512,mozilla,Use-after-free in WebSockets during disconnection
CVE-2017-7793,416,2.44%,~ 85 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.398,mozilla,Use-after-free with Fetch API
CVE-2017-7792,119,7.36%,~ 92 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.356,mozilla,Buffer overflow viewing certificates with an extremely long OID
CVE-2017-7791,20,1.35%,~ 80 %,5.3,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,Network,Low,None,None,Unchanged,None,Low,None,3.9,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.504,mozilla,Spoofing following page navigation with data: protocol and modal alerts
CVE-2017-7787,200,0.98%,~ 76 %,7.5,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Network,Low,None,None,Unchanged,High,None,None,3.9,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.510,mozilla,Same-origin policy bypass with iframes through page reloads
CVE-2017-7786,119,8.52%,~ 92 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.346,mozilla,Buffer overflow while painting non-displayable SVG
CVE-2017-7785,119,8.43%,~ 92 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.371,mozilla,Buffer overflow manipulating ARIA attributes in DOM
CVE-2017-7784,416,5.22%,~ 90 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.530,mozilla,Use After Free
